#NAME	GSM553736	GSM553737	GSM553738	GSM553739	GSM553740	GSM553741	GSM553742	GSM553743	GSM553744	GSM553745	GSM553746	GSM553747
#CLASS:Treatment	control	LPS	LPS_LPS	control	LPS	LPS_LPS	control	LPS	LPS_LPS	control	LPS	LPS_LPS
#CLASS:Donor	21	21	21	46	46	46	86	86	86	92	92	92
NM_001402.4	14.53845	14.47595	14.68938	14.46494	14.37044	14.41879	14.4697	14.53845	14.57933	14.48859	14.52151	14.77328
NM_182838.1	6.900255	6.759927	6.816071	6.718525	6.705887	6.701956	6.676738	6.637061	6.904048	6.60834	6.657626	6.852033
NM_001031.4	13.62656	13.76647	13.93066	12.82572	13.84851	14.23395	13.76647	13.57547	13.15066	13.73382	13.6871	13.26834
NM_014652.2	7.342572	7.389627	7.187717	7.020483	7.214577	7.308612	7.242273	7.150827	7.362936	7.189047	7.303412	7.305459
NM_198595.1	6.538148	6.480053	6.627071	6.488096	6.673145	6.583231	6.475209	6.52417	6.585937	6.426718	6.594589	6.531161
NM_080920.2	6.663211	6.691772	6.765483	6.603191	6.862646	6.762855	6.708853	6.69223	6.821134	6.717424	6.784865	6.59599
NM_030928.2	6.575648	6.536688	6.54923	6.589397	6.73631	6.518102	6.659746	6.666296	6.773813	6.591724	6.553189	6.640263
NM_080705.2	6.53079	6.559441	6.368299	6.595809	6.484289	6.604678	6.368681	6.530342	6.4857	6.618683	6.418944	6.511015
NM_005578.2	9.157773	9.068627	9.085065	9.156849	8.715048	9.142327	9.111558	9.131149	9.67717	8.842498	8.764599	8.908688
NM_057749.1	6.526594	6.53079	6.577897	6.533836	6.573846	6.472184	6.475209	6.449028	6.403113	6.441401	6.516329	6.511015
NM_031266.2	11.30278	11.87079	11.30819	11.52348	12.04939	11.31455	11.57831	11.92676	11.11558	11.27764	11.87523	10.88302
NM_058169.2	7.001434	7.064847	6.817421	6.869312	7.07854	6.920425	6.898191	6.966246	6.899747	6.980594	6.99688	6.916074
NM_024700.2	8.648318	8.681817	8.465423	8.581322	8.651598	8.343246	8.659594	8.767737	8.547843	8.387149	8.548227	8.31735
NM_130778.1	6.81294	7.098065	6.744676	6.709529	6.903738	6.92306	6.74524	6.843077	6.704592	6.716063	6.87538	6.69083
NM_181844.2	7.083217	6.769177	6.960109	6.847715	6.848464	6.833838	6.923876	6.674295	6.786722	6.718695	6.98637	6.857864
NM_014552.2	6.926802	7.015507	6.821526	6.775047	6.718007	6.828287	6.913569	6.917764	6.890626	7.006303	6.920498	6.946027
XM_927728.1	6.566853	6.639497	6.618729	6.572243	6.487783	6.553347	6.676738	6.585652	6.614127	6.639282	6.65598	6.544324
NM_032279.2	6.782842	6.563653	6.661917	6.533836	6.679283	6.683269	6.693324	6.699539	6.641565	6.604678	6.698928	6.634008
XM_926826.1	6.615494	6.480053	6.583231	6.661962	6.589537	6.700141	6.649888	6.48147	6.39879	6.686407	6.548073	6.610821
NM_006339.1	9.588069	9.343843	10.348784	10.076815	9.474692	9.936694	9.621555	9.619567	10.479531	9.694395	9.445794	10.238427
NM_133490.2	6.526594	6.552193	6.482978	6.407456	6.566709	6.63428	6.553534	6.473805	6.552097	6.502429	6.428492	6.560876
NM_012213.1	7.429149	7.265975	7.276944	7.496786	7.490763	7.397238	7.659243	7.487336	7.63285	7.388847	7.51513	7.170668
NM_012211.3	6.621702	6.582862	6.610262	6.522599	6.57017	6.762855	6.575448	6.628589	6.980429	6.53448	6.576866	6.531161
NM_021649.3	8.680045	8.093904	8.317534	8.994191	8.21804	8.502053	8.981917	8.470011	9.018481	8.851797	8.546058	8.851615
NM_014755.1	10.69033	10.6819	10.79326	10.43699	10.62491	10.59699	10.17229	10.66437	10.44603	10.34973	10.61291	10.74232
NM_000582.2	8.084276	7.598245	9.535919	8.71572	8.10123	8.619738	8.454023	8.847621	9.83398	8.631953	8.182399	8.535618
NM_005330.3	6.482883	6.416329	6.545678	6.508666	6.365698	6.492778	6.626429	6.405016	6.578085	6.458971	6.52417	6.394161
NM_032151.3	7.561075	7.215044	7.245962	7.45083	7.03207	7.330214	7.307993	7.290304	7.390576	7.463091	7.232139	7.191056
NM_024508.3	6.674643	6.734138	6.527256	6.595809	6.612938	6.537958	6.593676	6.616967	6.560108	6.593494	6.605132	6.560876
